CustomerNo,Recency,Frequency,Monetary,Cluster
12004,228,1,1509.6,cluster_3
12006,219,1,24.76,cluster_3
12008,277,1,5689.57,cluster_3
12013,360,1,69.96000000000001,cluster_3
12024,177,1,149.51999999999998,cluster_3
12025,288,1,1021.59,cluster_3
12026,340,1,20486.32,cluster_3
12031,71,1,136.18,cluster_1
12042,265,1,6296.77,cluster_3
12043,158,1,1235.59,cluster_3
12050,149,1,141.67000000000002,cluster_3
12057,32,2,4816.81,cluster_1
12060,366,1,36.75,cluster_3
12063,218,1,39.33,cluster_3
12067,18,1,14293.33,cluster_1
12071,366,1,23189.62,cluster_3
12078,285,1,2667.26,cluster_3
12080,185,1,14378.82,cluster_3
12081,359,1,13.27,cluster_3
12082,298,1,32.89,cluster_3
12087,185,1,857.34,cluster_3
12089,265,1,1179.53,cluster_3
12090,185,1,736.23,cluster_3
12093,185,1,1961.44,cluster_3
12100,248,1,10683.71,cluster_3
12115,9,2,14211.47,cluster_1
12116,166,1,2076.51,cluster_3
12120,166,1,454.16,cluster_3
12128,330,1,472.13,cluster_3
12130,32,1,63.56,cluster_1
12134,78,1,7825.83,cluster_1
12151,176,1,215.29,cluster_3
12154,339,1,9140.62,cluster_3
12160,120,1,51.2,cluster_1
12161,157,1,48.53,cluster_3
12165,256,1,1283.18,cluster_3
12167,256,1,1457.46,cluster_3
12171,309,1,1921.96,cluster_3
12174,43,1,111.75,cluster_1
12185,50,1,8369.02,cluster_1
12202,71,1,6810.79,cluster_1
12204,239,1,544.48,cluster_3
12205,239,1,1016.4,cluster_3
12214,296,1,10198.44,cluster_3
12221,108,2,16948.03,cluster_1
12230,108,1,16299.9,cluster_1
12231,176,1,5513.19,cluster_3
12236,166,1,65.52,cluster_3
12237,369,1,22960.43,cluster_3
12240,166,1,3656.61,cluster_3
12242,166,2,499.9,cluster_3
12245,146,2,2779.77,cluster_3
12251,369,1,1280.78,cluster_3
12252,369,1,344.72,cluster_3
12253,369,1,2184.44,cluster_3
12255,318,1,5592.11,cluster_3
12256,2,2,6600.63,cluster_1
12278,239,1,8417.1,cluster_3
12286,99,1,1567.91,cluster_1
12290,145,1,642.38,cluster_3
12293,201,2,1332.27,cluster_3
12309,37,1,12.86,cluster_1
12321,191,2,561.99,cluster_3
12324,173,3,6207.42,cluster_3
12325,227,1,104.32,cluster_3
12336,191,1,638.92,cluster_3
12338,215,1,825.42,cluster_3
12340,227,1,4866.77,cluster_3
12346,326,1,840113.8,cluster_2
12347,3,8,38307.42,cluster_1
12348,76,4,25377.36,cluster_1
12349,19,1,7951.1,cluster_1
12350,128,2,2371.9,cluster_1
12352,37,7,6811.92,cluster_1
12353,205,1,296.24,cluster_3
12354,233,1,6356.94,cluster_3
12355,215,1,2930.62,cluster_3
12356,23,4,20298.05,cluster_1
12357,34,1,33893.72,cluster_1
12358,2,3,23772.82,cluster_1
12359,58,4,23878.48,cluster_1
12360,53,3,13959.64,cluster_1
12361,288,1,922.62,cluster_3
12362,4,10,24367.78,cluster_1
12363,110,2,4747.08,cluster_1
12364,8,5,15842.75,cluster_1
12365,292,1,2101.83,cluster_3
12367,5,2,1268.6,cluster_1
12370,52,4,27585.33,cluster_1
12371,60,1,7411.53,cluster_1
12372,72,3,9302.48,cluster_1
12373,255,2,7980.55,cluster_3
12374,26,1,4112.9,cluster_1
12375,11,2,1385.9,cluster_1
12377,316,2,11241.34,cluster_3
12378,130,1,29410.6,cluster_1
12379,82,2,4315.06,cluster_1
12380,22,4,12159.37,cluster_1
12381,5,3,9136.37,cluster_1
12383,185,5,17227.829999999998,cluster_3
12384,29,2,1575.27,cluster_1
12386,338,2,4040.3,cluster_3
12387,208,1,5326.62,cluster_3
12388,16,6,16632.03,cluster_1
12390,80,1,4104.7,cluster_1
12391,22,1,3441.78,cluster_1
12393,73,6,8314.75,cluster_1
12394,64,2,9390.52,cluster_1
12395,20,12,24180.37,cluster_1
12396,263,1,6765.1,cluster_3
12397,36,3,15955.51,cluster_1
12398,46,1,15525.12,cluster_1
12399,120,4,12422.4,cluster_1
12401,304,1,124.47,cluster_3
12402,324,1,837.5,cluster_3
12403,50,1,1364.64,cluster_1
12405,149,1,10126.52,cluster_3
12406,23,2,21277.63,cluster_1
12407,50,5,15924.92,cluster_1
12408,33,5,16083.97,cluster_1
12409,79,3,66730.26,cluster_1
12410,309,2,2668.3,cluster_3
12411,262,1,55.24,cluster_3
12412,75,3,9420.63,cluster_1
12413,67,3,3307.89,cluster_1
12414,67,4,18177.6,cluster_1
12415,25,20,900545.54,cluster_2
12417,4,9,17859.88,cluster_1
12418,113,1,4856.91,cluster_1
12420,64,1,4151.1,cluster_1
12421,16,4,5091.65,cluster_1
12422,96,4,14914.25,cluster_1
12423,1,9,14766.41,cluster_1
12424,163,2,9389.81,cluster_3
12425,79,1,5638.98,cluster_1
12426,195,1,3126.61,cluster_3
12427,22,3,6109.77,cluster_1
12428,26,10,41864.41,cluster_1
12429,10,4,16106.1,cluster_1
12430,44,1,1410.68,cluster_1
12431,36,15,34946.42,cluster_0
12432,36,5,22880.21,cluster_1
12433,1,7,115454.49,cluster_0
12434,85,2,4864.51,cluster_1
12435,80,2,27757.97,cluster_1
12436,100,1,2581.38,cluster_1
12437,2,18,33137.62,cluster_0
12438,15,2,10591.5,cluster_1
12441,367,1,1389.3,cluster_3
12442,4,1,1297.84,cluster_1
12444,22,6,15868.42,cluster_1
12445,23,1,694.3199999999999,cluster_1
12446,58,1,4259.83,cluster_1
12447,244,1,2236.38,cluster_3
12448,45,1,2834.36,cluster_1
12449,23,4,18993.77,cluster_1
12450,157,2,1216.14,cluster_3
12451,11,6,74033.49,cluster_1
12452,17,1,1115.05,cluster_1
12453,135,1,5572.6,cluster_1
12454,57,1,13925.84,cluster_1
12455,74,5,23158.08,cluster_1
12456,45,3,19229.12,cluster_1
12457,67,7,9444.71,cluster_1
12458,72,3,14297.16,cluster_1
12461,155,1,3532.59,cluster_3
12462,19,2,6362.73,cluster_1
12463,11,5,8933.32,cluster_1
12464,11,8,1657.98,cluster_1
12465,18,2,5567.22,cluster_1
12468,188,3,15966.38,cluster_3
12469,292,1,615.22,cluster_3
12471,3,27,90851.48,cluster_0
12472,33,7,47779.49,cluster_1
12473,54,3,26438.23,cluster_1
12474,18,20,55693.11,cluster_0
12475,54,1,6077.06,cluster_1
12476,16,11,26116.98,cluster_1
12477,23,6,50865.6,cluster_1
12478,4,1,1547.87,cluster_1
12479,12,2,2706.55,cluster_1
12480,29,4,20048.2,cluster_1
12481,23,11,38449.71,cluster_1
12483,18,8,12931.64,cluster_1
12484,36,4,25515.73,cluster_1
12485,356,1,30.7,cluster_3
12488,10,3,5085.36,cluster_1
12489,337,1,1361.97,cluster_3
12490,6,10,30866.64,cluster_1
12491,39,2,4623.28,cluster_1
12492,64,2,2042.1,cluster_1
12493,166,2,1759.1699999999998,cluster_3
12494,16,7,7273.18,cluster_1
12497,82,1,13594.44,cluster_1
12498,22,3,1658.67,cluster_1
12500,24,10,31366.81,cluster_1
12501,337,1,20100.06,cluster_3
12502,96,5,11027.11,cluster_1
12504,19,2,1330.34,cluster_1
12505,254,1,1833.64,cluster_3
12506,233,1,311.08,cluster_3
12507,135,3,10264.7,cluster_1
12508,11,3,13111.33,cluster_1
12509,285,1,715.8399999999999,cluster_3
12510,143,2,4391.04,cluster_1
12512,67,2,1119.46,cluster_1
12513,113,1,4916.2,cluster_1
12514,268,1,5134.98,cluster_3
12515,155,2,1982.88,cluster_3
12516,78,3,15771.62,cluster_1
12517,29,5,15647.84,cluster_1
12518,1,5,14202.72,cluster_1
12519,64,1,2046.58,cluster_1
12520,80,6,17015.59,cluster_1
12521,143,1,3386.07,cluster_3
12522,40,3,2198.59,cluster_1
12523,20,11,10556.31,cluster_1
12524,10,9,57952.31,cluster_1
12526,1,3,6572.17,cluster_1
12527,82,3,2598.56,cluster_1
12528,10,6,8395.34,cluster_1
12530,60,4,9013.53,cluster_1
12531,15,1,278.55,cluster_1
12532,31,2,3755.8,cluster_1
12534,131,1,7616.2,cluster_1
12535,92,2,2978.58,cluster_1
12536,60,2,32970.54,cluster_1
12537,10,1,30.950000000000003,cluster_1
12538,30,1,2330.82,cluster_1
12539,23,5,29397.31,cluster_1
12540,20,17,79521.3,cluster_0
12541,30,4,12556.41,cluster_1
12542,235,1,6368.8,cluster_3
12544,37,2,2859.79,cluster_1
12545,76,2,6152.54,cluster_1
12546,10,3,8893.83,cluster_1
12547,115,4,14445.15,cluster_1
12548,167,1,561.0,cluster_3
12550,47,2,14478.54,cluster_1
12551,262,2,1759.01,cluster_3
12552,40,1,1196.93,cluster_1
12553,9,12,33396.7,cluster_0
12556,36,3,4448.71,cluster_1
12557,10,6,46880.83,cluster_1
12558,8,1,1213.24,cluster_1
12559,311,2,3418.7,cluster_3
12560,6,2,11335.82,cluster_1
12561,36,2,14040.59,cluster_1
12562,9,7,15925.47,cluster_1
12564,262,1,1625.93,cluster_3
12565,289,1,969.5,cluster_3
12566,87,1,2990.38,cluster_1
12567,23,10,49397.22,cluster_1
12569,3,32,19139.07,cluster_0
12571,40,2,5761.719999999999,cluster_1
12572,9,2,4389.56,cluster_1
12573,228,1,1025.38,cluster_3
12574,316,1,791.58,cluster_3
12576,36,5,11259.52,cluster_1
12577,36,3,5417.04,cluster_1
12578,22,2,14273.59,cluster_1
12579,79,1,3286.32,cluster_1
12580,247,1,2566.92,cluster_3
12581,40,1,1824.03,cluster_1
12582,239,2,3393.8,cluster_3
12583,3,15,56248.77,cluster_0
12584,4,9,5498.41,cluster_1
12585,235,2,14855.86,cluster_3
12586,18,1,1011.43,cluster_1
12587,8,1,309.5,cluster_1
12588,40,1,712.1899999999999,cluster_1
12589,29,2,3684.56,cluster_1
12590,212,1,49891.4,cluster_3
12591,318,1,2661.17,cluster_3
12592,93,2,2587.3,cluster_1
12593,109,3,1885.56,cluster_1
12594,38,9,19508.32,cluster_1
12596,52,2,5258.67,cluster_1
12597,20,4,25599.78,cluster_1
12598,10,7,22050.66,cluster_1
12599,30,7,10627.58,cluster_1
12600,29,10,8730.210000000001,cluster_1
12601,190,5,2959.09,cluster_3
12602,59,1,1817.46,cluster_1
12603,22,1,1202.32,cluster_1
12604,80,2,2291.92,cluster_1
12607,61,1,14205.03,cluster_1
12609,79,3,7359.41,cluster_1
12610,5,6,18853.03,cluster_1
12611,53,1,9832.66,cluster_1
12612,75,1,3348.79,cluster_1
12613,58,4,19136.74,cluster_1
12614,278,1,1102.41,cluster_3
12615,3,4,14117.8,cluster_1
12616,96,2,3527.2,cluster_1
12617,30,2,8521.32,cluster_1
12618,22,1,1114.39,cluster_1
12619,17,8,35213.99,cluster_1
12620,15,3,10989.5,cluster_1
12621,2,21,78735.47,cluster_0
12622,233,1,801.12,cluster_3
12623,277,1,2029.3,cluster_3
12624,107,4,5678.58,cluster_1
12625,212,2,18357.38,cluster_3
12626,24,9,38860.21,cluster_1
12627,11,7,27855.8,cluster_1
12628,5,3,4386.39,cluster_1
12630,10,2,5082.9,cluster_1
12631,58,1,2870.14,cluster_1
12633,59,4,13137.49,cluster_1
12635,87,3,16535.149999999998,cluster_1
12637,68,8,34091.3,cluster_1
12638,34,1,6397.62,cluster_1
12639,239,1,2225.42,cluster_3
12640,24,4,37688.39,cluster_1
12641,116,1,877.1,cluster_1
12642,26,3,6485.52,cluster_1
12643,129,6,21446.16,cluster_1
12644,130,1,3820.88,cluster_1
12645,34,4,12055.24,cluster_1
12646,5,4,15251.15,cluster_1
12647,23,12,17044.4,cluster_1
12648,155,1,1937.06,cluster_3
12649,30,5,7796.43,cluster_1
12650,4,1,1590.7,cluster_1
12651,335,1,867.3,cluster_3
12652,199,2,6254.79,cluster_3
12653,149,3,11735.49,cluster_3
12654,11,5,2934.11,cluster_1
12656,18,5,17340.34,cluster_1
12657,12,4,8016.62,cluster_1
12658,19,1,3709.7,cluster_1
12659,30,1,1141.6,cluster_1
12660,12,1,779.94,cluster_1
12662,1,11,22606.22,cluster_1
12663,214,2,2710.49,cluster_3
12664,9,9,14394.66,cluster_1
12665,325,1,415.0799999999999,cluster_3
12666,214,1,968.33,cluster_3
12667,59,1,4478.9,cluster_1
12668,12,4,17651.64,cluster_1
12669,151,2,12538.32,cluster_3
12670,11,6,22266.5,cluster_1
12671,80,2,8969.15,cluster_1
12672,330,1,931.2,cluster_3
12673,6,3,7908.16,cluster_1
12674,39,4,13431.52,cluster_1
12675,214,1,1326.97,cluster_3
12676,25,6,7924.15,cluster_1
12678,43,10,120696.22,cluster_0
12679,59,4,6561.37,cluster_1
12680,1,4,4628.29,cluster_1
12681,15,22,86451.58,cluster_0
12682,4,31,58072.69,cluster_0
12683,5,14,55540.22,cluster_0
12684,8,6,21663.16,cluster_1
12685,29,6,16981.07,cluster_1
12686,372,1,1159.4,cluster_3
12688,114,1,35476.51,cluster_1
12689,26,2,6936.96,cluster_1
12690,60,2,8008.59,cluster_1
12691,29,5,4927.3,cluster_1
12692,152,2,295.09000000000003,cluster_3
12693,128,4,3080.0,cluster_1
12694,71,2,5936.29,cluster_1
12695,8,5,18421.26,cluster_1
12697,29,3,5842.76,cluster_1
12700,8,4,30043.5,cluster_1
12701,80,2,7591.7,cluster_1
12702,20,2,6977.15,cluster_1
12703,72,1,1942.7,cluster_1
12704,8,8,10975.87,cluster_1
12705,16,8,44897.24,cluster_1
12707,292,1,3242.17,cluster_3
12708,30,10,15745.64,cluster_1
12709,5,16,47354.89,cluster_0
12710,97,3,9460.46,cluster_1
12712,29,13,13565.77,cluster_1
12713,1,1,3270.25,cluster_1
12714,10,6,33836.55,cluster_1
12715,5,2,1938.45,cluster_1
12716,4,4,15550.62,cluster_1
12717,114,3,6094.87,cluster_1
12718,72,2,7892.37,cluster_1
12719,6,2,3193.46,cluster_1
12720,3,26,48257.02,cluster_0
12721,32,6,21697.39,cluster_1
12722,86,4,6794.82,cluster_1
12723,4,5,3772.94,cluster_1
12724,6,4,4346.389999999999,cluster_1
12725,372,1,2041.74,cluster_3
12726,29,7,34574.16,cluster_1
12727,11,7,22770.58,cluster_1
